"","Player","Team","MarketValue","Age","Matches","Contract","Goals","Assists","Minutes","Height","AtClub","BothFeet","OwnGoals","Yellow","YellowRed","Red","SubOn","SubOff","Position"
"295","Willem Janssen","FC Utrecht",2e+06,27,7,4,1,1,431,186,0,0,0,1,0,0,1,3,"Midfielder"
"296","Jacob Mulenga","FC Utrecht",2500000,30,16,0,5,1,968,186,5,0,0,0,0,0,6,2,"Forward"
"297","Jordy Buijs","NAC Breda",8e+05,25,32,0,6,5,2869,186,3,0,0,4,0,0,0,1,"Midfielder"
"298","Robert Zwinkels","ADO Den Haag",250000,31,6,0,0,0,540,186,9,0,0,0,0,0,0,0,"Goalkeeper"
"299","Rasmus Bengtsson","FC Twente Enschede",2500000,27,28,1,5,1,2350,186,4,0,0,7,0,1,1,3,"Defender"
"300","Jan-Arie van der Heijden","Vitesse",3500000,26,32,1,0,2,2841,186,3,0,0,7,0,0,0,2,"Defender"
"301","Marko Vejinovic","Vitesse",2e+06,24,30,3,2,2,2133,186,1,0,0,4,0,0,6,4,"Midfielder"
"302","Maikel van der Werff","PEC Zwolle",3e+05,25,24,1,1,1,1839,186,1.5,0,2,1,0,0,4,4,"Defender"
"303","Victor Pálsson","NEC Nijmegen",7e+05,23,23,2,2,2,1887,186,1,0,0,3,0,1,3,0,"Midfielder"
"304","Dan Mori","Vitesse",6e+05,25,4,1,1,0,360,186,2,0,0,2,0,0,0,0,"Defender"
"305","Prince Gouano","RKC Waalwijk",5e+05,20,20,0,0,0,1730,186,1,0,0,1,0,0,0,2,"Defender"
"306","Gyliano van Velzen","FC Utrecht",150000,20,5,2,0,0,224,186,1,1,0,0,0,0,3,1,"Forward"
"307","Karim Rekik","PSV Eindhoven",2500000,19,25,0,1,0,2197,186,1,0,0,7,0,0,0,3,"Defender"
"308","Danzell Gravenberch","NEC Nijmegen",250000,20,6,0,0,0,288,186,0.5,0,0,0,0,0,4,1,"Defender"
"309","Richairo Zivkovic","FC Groningen",2500000,17,29,2,10,0,1350,186,1,0,0,2,0,0,17,4,"Forward"
"310","Alexander Christovao","SC Cambuur-Leeuwarden",150000,21,7,0,0,0,232,186,1,0,0,0,0,0,5,1,"Forward"
"311","Jelle ten Rouwelaar","NAC Breda",8e+05,33,34,2,0,0,3060,187,7,0,0,2,0,0,0,0,"Goalkeeper"
"312","Remko Pasveer","Heracles Almelo",1250000,30,33,0,0,0,2970,187,8,0,0,2,0,0,0,0,"Goalkeeper"
"313","Wesley Verhoek","Feyenoord Rotterdam",1e+06,27,6,2,0,0,161,187,2,1,0,1,0,0,5,1,"Forward"
"314","Lex Immers","Feyenoord Rotterdam",2500000,27,33,2,12,6,2906,187,2,0,0,5,0,0,0,4,"Midfielder"
"315","Stef Nijland","PEC Zwolle",7e+05,25,24,2,2,1,999,187,1,1,0,3,0,0,15,6,"Forward"
"316","Paco van Moorsel","SC Cambuur-Leeuwarden",3e+05,24,23,0,1,1,1185,187,1,1,0,3,0,0,9,10,"Midfielder"
"317","Ramon Leeuwin","SC Cambuur-Leeuwarden",5e+05,26,32,1,3,0,2782,187,1,0,0,3,0,0,0,3,"Defender"
"318","Jeroen Veldmate","Heracles Almelo",4e+05,25,19,1,1,1,1460,187,2,0,0,2,0,1,2,3,"Defender"
"319","Erik Falkenburg","Go Ahead Eagles Deventer",850000,26,31,0,9,2,2621,187,1,0,0,5,0,0,1,8,"Midfielder"
"320","Nemanja Gudelj","AZ Alkmaar",4e+06,22,29,3,5,3,2451,187,1,0,0,5,0,1,0,4,"Midfielder"
"321","Gévero Markiet","FC Utrecht",3e+05,23,20,2,1,0,1661,187,1.5,0,0,1,0,0,2,1,"Defender"
"322","Luc Castaignos","FC Twente Enschede",6e+06,21,31,2,14,5,2626,187,2,0,0,4,0,1,0,13,"Forward"
"323","Jeffrey Gouweleeuw","AZ Alkmaar",2500000,22,33,4,1,0,2970,187,1,0,0,2,0,0,0,0,"Defender"
"324","Karl-Johan Johnsson","NEC Nijmegen",5e+05,24,29,2,0,0,2529,187,1.5,0,0,0,0,0,1,0,"Goalkeeper"
"325","Markus Henriksen","AZ Alkmaar",2500000,21,26,3,2,0,1389,187,2,0,0,0,0,0,12,4,"Midfielder"
"326","Kenny Otigba","sc Heerenveen",1250000,21,24,2,5,0,2001,187,2,0,0,6,0,1,2,0,"Defender"
"327","Yanic Wildschut","ADO Den Haag",1e+06,22,25,0,2,1,851,187,0.5,0,0,0,0,0,20,5,"Forward"
"328","Mats Seuntjes","NAC Breda",5e+05,22,27,2,1,3,1780,187,3,0,0,6,0,0,8,8,"Midfielder"
"329","Robert van Boxel","SC Cambuur-Leeuwarden",150000,31,7,0,0,0,198,188,1,0,0,1,0,0,5,2,"Defender"
"330","Jonas Ivens","RKC Waalwijk",6e+05,29,10,0,0,0,518,188,1,0,0,1,0,1,5,1,"Defender"
"331","Berry Powel","Roda JC Kerkrade",6e+05,34,11,0,1,2,587,188,0.5,0,0,1,0,0,5,1,"Forward"
"332","Aleksei Kangaskolkka","Heracles Almelo",250000,25,4,1,0,0,87,188,1,0,0,1,0,0,3,1,"Forward"
"333","Bryan Ruiz","PSV Eindhoven",8e+06,28,14,0,5,3,1125,188,0.5,0,0,0,0,0,1,5,"Forward"
"334","Vito Wormgoor","ADO Den Haag",7e+05,25,25,2,0,0,1961,188,2,0,0,3,0,0,3,2,"Defender"
"335","Marcel Stutter","NEC Nijmegen",2e+05,26,10,0,0,2,363,188,2,1,0,1,0,0,7,1,"Midfielder"
"336","Tim Matavz","PSV Eindhoven",5e+06,25,15,2,2,3,679,188,3,0,0,1,0,0,8,3,"Forward"
