FIPS,DemRep,state_abbr,Clinton,Trump,population2014,population2010,population_change,ageunder5,ageunder18,age65plus,femaleperc,white,black,native,asian,hawaiian,morerace,hispanic,whitealone,home1year,foreignborn,nonenglish,eduhighschool,edubachelor,veteranperc,traveltime,houses,houseown,housemulti,households,pphousehold,income,poverty,retailsales,landarea,density
6113,Dem,CA,68.07182506,26.03164569,207590,200850,3.4,5.8,21.7,11.5,51.3,75.9,3,1.8,13.8,0.6,5,0.315,48.3,76,21.7,34.7,84.3,37.9,4.971819452,21.6,76720,52.9,30.6,70347,2.76,27730,19.1,9106,1014.69,197.9
6115,Rep,CA,34.35274005,58.47183968,73966,72155,2.5,8.1,27.8,11.4,49.2,79.4,4,3,7.3,0.5,5.9,0.272,56.6,76.3,12.3,24.7,79,13.7,8.679663629,29.5,28015,59.1,18.5,24300,2.93,19244,21.6,5908,631.84,114.2
8001,Dem,CO,49.37673091,42.14532477,480718,441687,8.8,7.6,27.7,9.6,49.6,87,3.7,2.1,4.1,0.2,2.9,0.388,51.9,82.4,14.9,28.4,81.4,20.9,5.754309179,28.4,166243,65.6,23.9,152803,2.93,24195,14.2,11556,1167.65,378.2
8003,Dem,CO,45.93301435,43.94664347,16177,15445,4.7,7.7,23.9,12.6,49.6,87.8,1.9,5.5,1.6,0.3,3,0.455,49.5,78.6,6.7,22.6,84.7,24.2,6.929591395,15,6684,61.5,17.5,5891,2.51,19487,26.5,17193,722.64,21.4
8005,Dem,CO,52.67558528,38.92593145,618821,572158,8.2,6.5,24.5,11.9,50.7,78.3,10.9,1.1,5.6,0.2,3.7,0.188,62.1,80.6,14.9,22.1,91.4,38.8,6.941264114,26.9,243745,62.7,34.4,225552,2.58,32595,12.1,18277,798.1,716.7
8007,Rep,CO,34.14266118,58.07956104,12244,12084,1.3,4.9,18.3,22.9,49.9,92.7,0.5,3.3,1.1,0.1,2.4,0.186,76.9,87.7,3.3,10.7,91.7,32.9,9.490362627,19.6,8943,73.7,12.6,4881,2.45,29793,9.7,11435,1350.18,8.9
8009,Rep,CO,13.19411486,81.44280968,3645,3788,-3.8,6.6,21.3,25.7,50.1,94.4,1.1,2,0.4,0,2.1,0.105,85.5,88.9,2.8,5.2,87.3,17.2,9.053497942,12.6,2232,74.4,4.1,1651,2.2,22318,15.2,8570,2554.97,1.5
8011,Rep,CO,30.70824524,61.62790698,5630,6499,-13.4,3.7,16.2,16.9,35.6,86.5,7.2,3.2,1.3,0.1,1.7,0.318,58,85.6,5.9,17.8,79.4,8.8,10.90586146,17.7,2217,63.5,5.1,1873,2.17,15081,19.1,2838,1512.86,4.3
8013,Dem,CO,70.56610179,21.93453476,313333,294571,6.4,5,20.3,12.2,49.8,90.8,1.1,0.8,4.5,0.1,2.6,0.138,78.3,76.2,10.9,16.5,93.9,58.3,4.925111622,22.7,130938,63.1,28.9,120521,2.42,38011,14.2,13660,726.29,405.6
8014,Dem,CO,52.30035885,38.219699,62138,55860,11.2,6,24.7,12.2,50.4,88.8,1.4,0.8,6.3,0.1,2.5,0.12,78,81.1,8.6,13.8,94.9,47.5,6.154044224,26.2,25900,68.3,25,22016,2.59,37442,7.1,21240,33.03,1691.9
8015,Rep,CO,43.39485408,48.03163924,18363,17809,3.1,4,15.8,23,47.2,94.4,1.7,1.5,0.8,0.1,1.5,0.102,85.4,86.7,3.5,6.3,91.1,33.9,12.32914012,14.9,10319,76.2,8.3,7832,2.15,27182,8,14982,1013.4,17.6
